GEN1,GEN2,GEN3,GEN4,GEN5,GEN6,GEN7,GEN8,GEN9,GEN10,GEN11,GEN12,GEN13,GEN14,GEN15,GEN16,GEN17,GEN18,GEN19,GEN20,GEN21,GEN22,GEN23,GEN24,GEN25,GEN26,GEN27,GEN28,GEN29,GEN30,GEN31,GEN32
1,1,1,1,1,1,1,1,1,1,1,0.487414,0.181288233,0.487414,0.181288233,0.487414,0.181288233,1,1,0.487414,0.181288233,1,0.487414,0.181288233,1,0.487414,0.181288233,0.487414,0.181288233,1,0.487414,0.487414
1,1,1,1,1,1,1,1,1,1,1,0.59469,0.182223822,0.59469,0.182223822,0.59469,0.182223822,1,1,0.59469,0.182223822,1,0.59469,0.182223822,1,0.59469,0.182223822,0.59469,0.182223822,1,0.59469,0.59469
1,1,1,1,1,1,1,1,1,1,1,0.489413,0.176898165,0.489413,0.176898165,0.489413,0.176898165,1,1,0.489413,0.176898165,1,0.489413,0.176898165,1,0.489413,0.176898165,0.489413,0.176898165,1,0.489413,0.489413
1,1,1,1,1,1,1,1,1,1,1,0.421603,0.162576466,0.421603,0.162576466,0.421603,0.162576466,1,1,0.421603,0.162576466,1,0.421603,0.162576466,1,0.421603,0.162576466,0.421603,0.162576466,1,0.421603,0.421603
1,1,1,1,1,1,1,1,1,1,1,0.255437,0.164087801,0.255437,0.164087801,0.255437,0.164087801,1,1,0.255437,0.164087801,1,0.255437,0.164087801,1,0.255437,0.164087801,0.255437,0.164087801,1,0.255437,0.255437
1,1,1,1,1,1,1,1,1,1,1,0.0234043,0.167254408,0.0234043,0.167254408,0.0234043,0.167254408,1,1,0.0234043,0.167254408,1,0.0234043,0.167254408,1,0.0234043,0.167254408,0.0234043,0.167254408,1,0.0234043,0.0234043
1,1,1,1,1,1,1,1,1,1,1,0,0.178769341,0,0.178769341,0,0.178769341,1,1,0,0.178769341,1,0,0.178769341,1,0,0.178769341,0,0.178769341,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.215041382,0,0.215041382,0,0.215041382,1,1,0,0.215041382,1,0,0.215041382,1,0,0.215041382,0,0.215041382,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.253040662,0,0.253040662,0,0.253040662,1,1,0,0.253040662,1,0,0.253040662,1,0,0.253040662,0,0.253040662,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.268873696,0,0.268873696,0,0.268873696,1,1,0,0.268873696,1,0,0.268873696,1,0,0.268873696,0,0.268873696,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.260021591,0,0.260021591,0,0.260021591,1,1,0,0.260021591,1,0,0.260021591,1,0,0.260021591,0,0.260021591,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.252608852,0,0.252608852,0,0.252608852,1,1,0,0.252608852,1,0,0.252608852,1,0,0.252608852,0,0.252608852,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.240662109,0,0.240662109,0,0.240662109,1,1,0,0.240662109,1,0,0.240662109,1,0,0.240662109,0,0.240662109,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.218855703,0,0.218855703,0,0.218855703,1,1,0,0.218855703,1,0,0.218855703,1,0,0.218855703,0,0.218855703,1,0,0
